214	0007-01A	"Ground Stake 10.5in Hose, Short - Sprinkler Adapter"	*	*	*	*	"214-0007-01A Ground Stake 10.5in Hose, Short - Sprinkler Adapter"
214	0007-02A	"Ground Stake .3in Hose, Short - Sprinkler Adapter"	*	*	*	*	"214-0007-02A Ground Stake .3in Hose, Short - Sprinkler Adapter"
214	0008-01A	Bedroom Window Blinds Holder	*	*	*	*	214-0008-01A Bedroom Window Blinds Holder
214	0009-01A	Rond de Serviette	*	*	*	*	214-0009-01A Rond de Serviette
214	0010-01A	Spice Rack	*	*	*	*	214-0010-01A Spice Rack
214	0011-01A	2.5in Outlet to 1.25in Hose Adapter - For Shop Vac	*	*	*	*	214-0011-01A 2.5in Outlet to 1.25in Hose Adapter - For Shop Vac
214	0011-02A	1.25in Hose to Bucket Adapter - For Shop Vac	*	*	*	*	214-0011-02A 1.25in Hose to Bucket Adapter - For Shop Vac
214	0011-03A	Alcohol Bucket Threads to 1.25 Hose Adapter - For Shop Vac	*	*	*	*	214-0011-03A Alcohol Bucket Threads to 1.25 Hose Adapter - For Shop Vac
214	0011-04A	1.375in Outlet to 1.25 Hose Adapter - For Shop Vac (Miter Saw)	*	*	*	*	214-0011-04A 45mm Outlet to 1.25 Hose Adapter
214	0011-05A	45mm to 1.25 Hose Adapter - For Shop Vac	*	*	*	*	214-0011-05A 45mm to 1.25 Hose Adapter - For Shop Vac
214	0011-06A	1.875 to 1.25 Hose Adapter - For Shop Vac (Belt Sander)	*	*	*	*	214-0011-06A 1.875 to 1.25 Hose Adapter - For Shop Vac (Belt Sander)
214	0012-01A	Magnetic Touch Probe Clamp 	*	*	*	*	214-0012-01A Magnetic Touch Probe Clamp 
214	0013-01A	Fixture Plate Plug	*	*	*	*	214-0013-01A Fixture Plate Plug
214	0014-01A	Dadot Centering Jig - .875in Diameter	*	*	*	*	214-0014-01A Dadot Centering Jig - .875in Diameter
214	0015-01A	Guitar Case Handle	*	*	*	*	214-0015-01A Guitar Case Handle
214	0016-01A	Tektronix Power Button	*	*	*	*	214-0016-01A Tektronix Power Button
214	0017-01A	Air Hose Bracket	*	*	*	*	214-0017-01A Air Hose Bracket
214	0018-01A	Limit Switch Bracket	*	*	*	*	214-0018-01A Limit Switch Bracket
214	0019-01A	Hiwin HGH20CA Carriage Spacer - Softjaw CNC Assy	*	*	*	*	214-0019-01A Hiwin HGH20CA Carriage Spacer - Softjaw CNC Assy
215	0001-01A	Top Head - Os Camper Bed Assy	*	*	*	*	215-0001-01A Top Head - Os Camper Bed Assy
215	0001-02A	Top Feet - Os Camper Bed Assy	*	*	*	*	215-0001-02A Top Feet - Os Camper Bed Assy
219	0001-01	BlackJack Packaging - for 211-0001-01	*	*	*	*	219-0001-01A BlackJack Packaging - for 211-0001-01
219	0002-01A	Mucho Wheelcover	*	*	*	*	219-0002-01A Mucho Wheelcover
219	0003-01A	Dado Guide 3/4in wide with 5/8in bit - Use with 7/16 brass bushing	*	*	*	*	219-0003-01A Dado Guide 3/4in wide with 5/8in bit - Use with 7/16 brass bushing
450	0001-01A	Bici BlackJack Assy	*	*	*	*	450-0001-01A Bici BlackJack Assy
450	0002-01A	Os Camper Bed - Subaru Cross Track 2019	*	*	*	*	450-0002-01A Os Camper Bed - Subaru Cross Track 2019
451	0002-01A	Carabiner Assy	*	*	*	*	451-0002-01A Carabiner Assy
451	0003-01A	C-Beam Gantry Plate Assy - Open Builds	*	*	*	*	451-0003-01A C-Beam Gantry Plate Assy - Open Builds
451	0004-01A	Double Wide Gantry Assy - Open Builds	*	*	*	*	451-0004-01A Double Wide Gantry Assy - Open Builds
451	0005-01A	Front Yard Planter	*	*	*	*	451-0005-01A Front Yard Planter
451	0006-01A	Bed Assy - Os Camper Bed	*	*	*	*	451-0006-01A Bed Assy - Os Camper Bed
451	0007-01A	Base - Softjaw CNC Assy	*	*	*	*	451-0007-01A Base - Softjaw CNC Assy
451	0008-01A	Tektronix Power Button Assy	*	*	*	*	451-0008-01A Tektronix Power Button Assy
451	0009-01A	Fixture Plate Assy - SoftJaw CNC	*	*	*	*	451-0009-01A Fixture Plate Assy - SoftJaw CNC
452	0001-01A	*Available*	*	*	*	*	*AVAILABLE*
452	0002-01A	 C-Beam Linear Actuator 500mm - Open Builds	*	*	*	*	452-0002-01A  C-Beam Linear Actuator 500mm - Open Builds
452	0003-01A	 C-Beam Linear Actuator 1000mm - Open Builds	*	*	*	*	452-0003-01A  C-Beam Linear Actuator 1000mm - Open Builds
452	0004-01A	C-Beam Linear Actuator 250mm - Open Builds	*	*	*	*	452-0004-01A C-Beam Linear Actuator 250mm - Open Builds
452	0005-01A	*Available*	*	*	*	*	*Available*
452	0006-01A	X Axis Assy - SoftJaw CNC	*	*	*	*	452-0006-01A X Axis Assy - SoftJaw CNC
452	0007-01A	Y Axis Assy - SoftJaw CNC	*	*	*	*	452-0007-01A Y Axis Assy - SoftJaw CNC
452	0008-01A	Z Axis Assy - SoftJaw CNC	*	*	*	*	452-0008-01A Z Axis Assy - SoftJaw CNC
594	0001-01A	Auto Tool Zero Script	*	*	*	*	594-0001-01A Auto Tool Zero Script
597	0002-01A	Size A Drawing Template - Softjaw design	*	*	*	*	597-0002-01A Size A Drawing Template - Softjaw design
597	0001-01A	SoftJaw Logo	*	*	*	*	597-0001-01A SoftJaw Logo
111	0022	Screw PH 10-32 X 0.5 Black Oxide	McMaster	91249A263	*	*	111-0022 Screw PH 10-32 X 0.5 Black Oxide
111	0023	Screw SHCS M5 X 20mm Black Oxide	McMaster	91290A242	0.1491	100	111-0023 Screw SHCS M5 X 20mm Black Oxide
111	0024	Screw SHCS .25-20 X 0.5 Black Oxide	*	*	*	*	111-0024 Screw SHCS .25-20 X 0.5 Black Oxide
210	0012-01A	X Axis Cross Plate - SoftJaw CNC	*	*	*	*	210-0012-01A X Axis Cross Plate - SoftJaw CNC
119	0006	1204 Ballscrew Nut Housing 	*	*	*	*	119-0006 1204 Ballscrew Nut Housing 
119	0007	1000mm Ballscrew Assy - SFU1204 1000mm with BK10/BF10	*	*	*	*	119-0007 1000mm Ballscrew Assy - SFU1204 1000mm with BK10/BF10
119	0008	250mm Ballscrew Assy - SFU1204 250mm with BK10/BF10	*	*	*	*	119-0008 250mm Ballscrew Assy - SFU1204 250mm with BK10/BF10
115	0017	Hiwin Linear Rail 300 - HGH20CA	*	*	*	*	115-0017 Hiwin Linear Rail 300 - HGH20CA
130	0001	"Chinese Spindle - 2.2KV, 220V, Water Cooled"	Ebay	*	1800	1	"130-0001 Chinese Spindle - 2.2KV, 220V, Water Cooled"
130	0002	RATTM BT30 Spindle	Ebay	*	1800	1	130-0002 RATTM BT30 Spindle
451	0010-01A	Jeopardy Task Wheel	*	*	*	*	451-0010-01A Jeopardy Task Wheel
214	0020-01A	Black and Decker Blower Hanger	*	*	*	*	214-0020-01A Black and Decker Blower Hanger
451	0011-01A	Lithography Alignment Jig Assy	*	*	*	*	451-0011-01A Lithography Alignment Jig Assy
451	0012-01A	ATC Tool Rack	*	*	*	*	451-0012-01A ATC Tool Rack
